date,revenue,quantity,category
2025-06-14,272.0,1,No 1 Grafton Inn
2025-06-15,153.0,1,No 1 Grafton Inn
2025-06-15,187.0,1,No 1 Grafton Inn
2025-06-15,175.95,1,No 1 Grafton Inn
2025-06-16,1071.0,4,No 1 Grafton Inn
2025-06-16,646.0,2,No 1 Grafton Inn
2025-06-16,768.84,3,No 1 Grafton Inn
2025-06-16,226.8,1,No 1 Grafton Inn
2025-06-17,226.8,1,No 1 Grafton Inn
2025-06-18,428.4,2,No 1 Grafton Inn
2025-06-19,569.5,2,No 1 Grafton Inn
2025-06-19,1050.0,3,No 1 Grafton Inn
2025-06-20,428.4,2,No 1 Grafton Inn
2025-06-20,803.25,3,No 1 Grafton Inn
2025-06-20,186.3,1,No 1 Grafton Inn
2025-06-21,646.0,2,No 1 Grafton Inn
2025-06-21,315.0,1,No 1 Grafton Inn
2025-06-22,1190.0,4,No 1 Grafton Inn
2025-06-22,226.8,1,No 1 Grafton Inn
2025-06-23,780.3,3,No 1 Grafton Inn
2025-06-23,226.8,1,No 1 Grafton Inn
2025-06-24,654.5,2,No 1 Grafton Inn
2025-06-24,222.75,1,No 1 Grafton Inn
2025-06-25,569.5,2,No 1 Grafton Inn
2025-06-25,420.76,2,No 1 Grafton Inn
2025-06-26,210.6,1,No 1 Grafton Inn
2025-06-26,178.2,1,No 1 Grafton Inn
2025-06-27,535.5,2,No 1 Grafton Inn
2025-06-27,476.0,2,No 1 Grafton Inn
2025-06-27,307.8,1,No 1 Grafton Inn
2025-06-27,382.5,1,No 1 Grafton Inn
2025-06-27,301.5,1,No 1 Grafton Inn
2025-06-28,481.96,2,No 1 Grafton Inn
2025-06-28,1214.1,4,No 1 Grafton Inn
2025-06-29,595.0,2,No 1 Grafton Inn
2025-06-29,428.4,2,No 1 Grafton Inn
2025-06-30,202.5,1,No 1 Grafton Inn
2025-06-30,214.65,1,No 1 Grafton Inn
2025-06-30,231.66,1,No 1 Grafton Inn
2025-07-01,280.0,1,No 1 Grafton Inn
2025-07-01,598.5,2,No 1 Grafton Inn
2025-07-01,301.5,1,No 1 Grafton Inn
2025-07-02,1108.8,4,No 1 Grafton Inn
2025-07-02,748.44,3,No 1 Grafton Inn
2025-07-02,162.0,1,No 1 Grafton Inn
2025-07-03,1338.75,5,No 1 Grafton Inn
2025-07-03,288.0,1,No 1 Grafton Inn
2025-07-03,198.0,1,No 1 Grafton Inn
2025-07-03,252.0,1,No 1 Grafton Inn
2025-07-04,478.8,2,No 1 Grafton Inn
2025-07-04,722.0,2,No 1 Grafton Inn
2025-07-05,230.0,1,No 1 Grafton Inn
2025-07-05,270.0,1,No 1 Grafton Inn
2025-07-06,572.86,2,No 1 Grafton Inn
2025-07-06,478.8,2,No 1 Grafton Inn
2025-07-06,598.5,2,No 1 Grafton Inn
2025-07-06,238.5,1,No 1 Grafton Inn
2025-07-07,380.0,1,No 1 Grafton Inn
2025-07-08,1108.8,4,No 1 Grafton Inn
2025-07-08,739.2,3,No 1 Grafton Inn
2025-07-08,831.6,3,No 1 Grafton Inn
2025-07-08,902.88,3,No 1 Grafton Inn
2025-07-08,207.0,1,No 1 Grafton Inn
2025-07-09,884.4,3,No 1 Grafton Inn
2025-07-09,224.1,1,No 1 Grafton Inn
2025-07-10,315.0,1,No 1 Grafton Inn
2025-07-11,252.0,1,No 1 Grafton Inn
2025-07-11,997.92,3,No 1 Grafton Inn
2025-07-12,831.6,3,No 1 Grafton Inn
2025-07-12,650.0,2,No 1 Grafton Inn
2025-07-12,665.28,3,No 1 Grafton Inn
2025-07-13,1061.28,4,No 1 Grafton Inn
2025-07-13,997.92,4,No 1 Grafton Inn
2025-07-15,722.0,2,No 1 Grafton Inn
2025-07-16,665.0,2,No 1 Grafton Inn
2025-07-17,283.5,1,No 1 Grafton Inn
2025-07-17,306.0,1,No 1 Grafton Inn
2025-07-17,795.96,3,No 1 Grafton Inn
2025-07-17,252.0,1,No 1 Grafton Inn
2025-07-18,985.6,4,No 1 Grafton Inn
2025-07-18,1108.8,4,No 1 Grafton Inn
2025-07-18,1188.46,4,No 1 Grafton Inn
2025-07-18,665.0,2,No 1 Grafton Inn
2025-07-20,2142.0,8,No 1 Grafton Inn
2025-07-20,270.0,1,No 1 Grafton Inn
2025-07-20,398.7,2,No 1 Grafton Inn
2025-07-21,1061.28,4,No 1 Grafton Inn
2025-07-21,1124.64,4,No 1 Grafton Inn
2025-07-21,2034.9,7,No 1 Grafton Inn
2025-07-21,193.5,1,No 1 Grafton Inn
2025-07-22,598.5,2,No 1 Grafton Inn
2025-07-22,238.5,1,No 1 Grafton Inn
2025-07-22,252.0,1,No 1 Grafton Inn
